"Area";"Information";"2022"
"Uusimaa";"Population 31 Dec";1733033
"Southwest Finland";"Population 31 Dec";485567
"Satakunta";"Population 31 Dec";212556
"Kanta-Häme";"Population 31 Dec";169537
"Pirkanmaa";"Population 31 Dec";532671
"Päijät-Häme";"Population 31 Dec";204528
"Kymenlaakso";"Population 31 Dec";159488
"South Karelia";"Population 31 Dec";125353
"South Savo";"Population 31 Dec";130451
"North Savo";"Population 31 Dec";247689
"North Karelia";"Population 31 Dec";162540
"Central Finland";"Population 31 Dec";272437
"South Ostrobothnia";"Population 31 Dec";190774
"Ostrobothnia";"Population 31 Dec";176323
"Central Ostrobothnia";"Population 31 Dec";67805
"North Ostrobothnia";"Population 31 Dec";416543
"Kainuu";"Population 31 Dec";70521
"Lapland";"Population 31 Dec";175795
"Åland";"Population 31 Dec";30359
