"Kuukausi";"Työllisyysaste, 15-64-vuotiaat, %"
"2010M01";64.4
"2010M02";65.2
"2010M03";65.5
"2010M04";66.0
"2010M05";67.7
"2010M06";69.6
"2010M07";69.6
"2010M08";68.2
"2010M09";66.3
"2010M10";66.8
"2010M11";66.8
"2010M12";65.5
"2011M01";65.5
"2011M02";66.3
"2011M03";65.0
"2011M04";67.4
"2011M05";68.4
"2011M06";70.3
"2011M07";70.7
"2011M08";69.1
"2011M09";67.3
"2011M10";67.3
"2011M11";68.7
"2011M12";66.1
"2012M01";65.6
"2012M02";67.4
"2012M03";66.2
"2012M04";67.7
"2012M05";69.0
"2012M06";70.6
"2012M07";71.6
"2012M08";69.3
"2012M09";67.2
"2012M10";68.1
"2012M11";67.8
"2012M12";66.3
"2013M01";66.1
"2013M02";66.4
"2013M03";65.6
"2013M04";68.0
"2013M05";68.3
"2013M06";71.0
"2013M07";70.9
"2013M08";68.6
"2013M09";66.8
"2013M10";67.6
"2013M11";67.1
"2013M12";66.0
"2014M01";66.3
"2014M02";66.1
"2014M03";65.8
"2014M04";67.4
"2014M05";67.9
"2014M06";70.8
"2014M07";70.7
"2014M08";68.2
"2014M09";67.1
"2014M10";66.9
"2014M11";66.7
"2014M12";66.4
"2015M01";65.7
"2015M02";65.6
"2015M03";65.9
"2015M04";67.1
"2015M05";67.2
"2015M06";69.7
"2015M07";69.5
"2015M08";67.7
"2015M09";67.7
"2015M10";67.5
"2015M11";66.1
"2015M12";66.0
"2016M01";65.8
"2016M02";65.2
"2016M03";67.3
"2016M04";67.1
"2016M05";67.5
"2016M06";71.2
"2016M07";69.9
"2016M08";68.6
"2016M09";68.7
"2016M10";67.7
"2016M11";66.8
"2016M12";67.6
"2017M01";65.9
"2017M02";66.0
"2017M03";68.1
"2017M04";67.6
"2017M05";68.3
"2017M06";71.4
"2017M07";71.0
"2017M08";69.7
"2017M09";68.3
"2017M10";68.8
"2017M11";69.8
"2017M12";68.9
"2018M01";67.9
"2018M02";68.8
"2018M03";69.2
"2018M04";69.1
"2018M05";71.4
"2018M06";74.6
"2018M07";73.2
"2018M08";72.1
"2018M09";70.3
"2018M10";70.7
"2018M11";70.7
"2018M12";70.9
"2019M01";70.1
"2019M02";69.8
"2019M03";70.9
"2019M04";70.4
"2019M05";71.8
"2019M06";74.5
"2019M07";74.1
"2019M08";72.1
"2019M09";71.6
"2019M10";71.3
"2019M11";70.8
"2019M12";72.2
"2020M01";71.3
"2020M02";70.0
"2020M03";70.2
"2020M04";69.6
"2020M05";69.1
"2020M06";72.8
"2020M07";72.6
"2020M08";70.1
"2020M09";71.3
"2020M10";70.9
"2020M11";70.7
"2020M12";70.0
"2021M01";69.1
"2021M02";70.0
"2021M03";70.7
"2021M04";70.1
"2021M05";73.0
"2021M06";75.8
"2021M07";74.9
"2021M08";73.4
"2021M09";71.7
"2021M10";72.3
"2021M11";72.2
"2021M12";73.3
"2022M01";71.5
"2022M02";72.7
"2022M03";72.5
"2022M04";72.7
"2022M05";74.7
"2022M06";76.9
"2022M07";75.7
"2022M08";74.2
"2022M09";73.4
"2022M10";74.3
"2022M11";73.9
"2022M12";73.4
"2023M01";71.9
"2023M02";72.9
